text,label
"New Renaissance Records is an American record label founded in 1984 by Ann Boleyn, who also is the lead singer of the group Hellion and is credited for coining the term speed metal.",Company
"Peter Fenson (born February 29, 1968 in Bemidji, Minnesota) is an American curler. He was the skip of the men's rink that represented the United States at the 2006 Winter Olympics, where they won the bronze medal, the first Olympic medal for the United States in curling. He has won eight national championships, the most recent in Philadelphia in March 2014, and six as skip.",WinterSportPlayer
"Rocket House is the seventh album by singer-songwriter and guitarist, Chris Whitley. It is his sixth studio album. It was produced by Tony Mangurian and recorded primarily at Soho Music Studios in New York City. It was mixed by Tony Mangurian and Danny Madorsky at Greene St. Recording. Additional recording was done at Little Henri Studio in New York City, Dok Noord in Ghent, Belgium, and by Scott Campbell in Los Angeles, California.",MusicalWork
"Sphaerolana is a genus of isopod crustaceans in the family Cirolanidae, all of which are endemic to Mexico. The genus Sphaerolana contains the following species: All three species are on the IUCN Red List as either vulnerable species (VU) or endangered species (EN). \n* Sphaerolana affinis Cole & Minckley, 1970 – EN \n* Sphaerolana interstitialis Cole & Minckley, 1970 – EN \n* Sphaerolana karenae Rodriguez-Almaraz & Bowman, 1995 – VU",Animal
"Ochiishi Station (落石駅 Ochiishi-eki) is a railway station on the Nemuro Main Line of JR Hokkaido located in Nemuro, Hokkaidō, Japan. The station opened on November 10, 1920.",Station
"The Federal Virtual Challenge, formerly The Federal Virtual Worlds Challenge is a competition led by the Simulation and Training Technology Center (United States Army Research, Development and Engineering Command). The event is conducted in order to reach a global development community that will create innovative and interactive training and analysis solutions in virtual worlds. The inaugural event began in 2009 with the awards being conducted during March 2010 GameTech conference in Orlando, Florida.",SocietalEvent
"Emo pop (short for emo pop punk) is a fusion genre that combines elements of emo with pop punk influences, such as more concise songs and hook-filled choruses.",Genre
"Lago di Lases is a lake in Trentino, Italy. At an elevation of 629 m, its surface area is 0.16 km².",BodyOfWater
"Marriott’s Grand Chateau is a timeshare resort near the Las Vegas Strip in Paradise, Nevada, managed by Marriott Vacation Club. It is a 38-story tower with three wings; a fourth wing is planned. It has 643 suites, and amenities including a gym, three bars, and two swimming pools.",Building
"Giulia Botti (born April 1, 1980) is an Italian ski mountaineer and triathlete. Botti is member of the Kinomana skialp.",WinterSportPlayer
"Asia Wings was a Kazakhstan airline based in Karagandy, and operates 5 domestic services from Karaganda and Almaty",Company
"Glasgow Hawks are an amateur rugby union team in Glasgow, Scotland. They were Premiership Division One champions for three consecutive seasons from 2003–04 to 2005–06.",SportsTeam
"Albarello is an ancient white grape that is found in very small quantities in Ribera del Ulla, Galicia, Spain. Although similar in name, it is different from Albariño. It produces very aromatic wines.",FloweringPlant
"Cleydael Castle (Dutch: Kasteel Cleydael) is a moated castle in Aartselaar in the province of Antwerp, Belgium. Cleydael Castle is situated at an altitude of 8 meters. Parts of the building date from the 14th century. The castle was the home of the lords of Cleydael until the end of the 18th century.After being part of the golf course, it is now private property again.",Building
"Bera Bera Rugby Taldea is a Spanish rugby union club. The club was established in 1983 and currently competes in the División de Honor B de Rugby competition, the second-level of Spanish club rugby. The club are based in Donostia-San Sebastian. Bera Bera play in blue and orange.",SportsTeam
"Eucrassatella speciosa, or Gibbs' clam, is a species of bivalve mollusc in the family Crassatellidae. It can be found along the Atlantic coast of North America, ranging from North Carolina to the West Indies.",Animal
Hacıhıdır Dam is a dam in Turkey. The development was backed by the Turkish State Hydraulic Works.,Infrastructure
"Filippo Brizzi or Briccio or Brizio (1603–1675) was an Italian painter of the Baroque period. He was born in Bologna, the son of painter and engraver, Francesco Brizzi. Filippo became a pupil of Guido Reni. He painted for the church of San Silvestre at Bologna and also an altar-piece representing Virgin Mary with St. John the Baptist and St. Silvester and St. Giuliano crowned by Angels for the church of San Giuliano.",Artist
"The Star Theater, formerly known as Princess Theatre and several other names, is a historic former silent film theater in Portland, Oregon, United States. The address was originally 9 NW Sixth Avenue, but since 2001 has been 13 NW Sixth Avenue. The theater operated as a film theater as well as a burlesque theater and an adult movie theater.",Venue
"Jan TV Plus is a satellite television channel from India owned by CSL Infomedia Pvt. Ltd. It was inaugurated by the Chief Minister of Rajasthan, Mr.Ashok Gehlot  on 13 May 2012 in Jaipur.",Broadcaster
Writers Workshop is a Calcutta-based literary publisher founded by the poet-professor Purushottama Lal in 1958. Over the next few decades it published many new authors of post-independence urban literature. Many of these authors later became important.,Company
Mirzapur Cadet College (Bengali: মির্জাপুর ক্যাডেট কলেজ) is a cadet college of Bangladesh. Like other cadet colleges it follows the national curriculum prescribed by the National Curriculum and Textbook Board (NCTB) and gives emphasis to extracurricular and co-curricular activities.,EducationalInstitution
"Oronzio Gabriele Costa (26 August 1787, Lecce – 7 November 1867 Naples) was an Italian zoologist. At first a physician, he taught zoology at the University of Naples. He wrote 126 papers on various subjects, principally entomology, and in 1846 served as president of the Accademia Pontaniana in Naples. His two sons, Achille Costa (1823-1899) and Giuseppe Costa, were also both well known zoologists.",Scientist
"KotoriCon is an annual two-day anime convention held during January at Rowan College at Gloucester County (formerly known as Gloucester County College) in Sewell, New Jersey. It is sponsored by the college's Japanese Anime Guild and KotoriCon's name comes from the Japanese for little bird, inspired by the colleges roadrunner mascot. The convention is designed to be family-friendly.",SocietalEvent
Armando Vieira (born 11 April 1925) is a retired Brazilian tennis player. His best achievement was reaching quarterfinals of the 1951 Wimbledon Championships. In June 1951 he won the singles title at the Dutch International Championships after defeating Felicisimo Ampon in the final in three straight sets. Vieira turned professional in 1958.,Athlete
"The Professional Basketball League (Russian: Профессиональная баскетбольная лига (ПБЛ), Professionalʼnaya basketbolʼnaya liga), often abbreviated to the PBL, was the pre-eminent men's professional basketball league in Russia, and the successor to the Russian Super League 1, which is now the second-tier division of the Russian basketball league system. The PBL was the second version of the Russian Professional Basketball Championship.",SportsLeague
"Donald E. C. Bull was a rugby union player who represented Australia. Bull, a centre, claimed 1 international rugby cap for Australia.",Athlete
"Samo shampioni (Only Champions) is a song recorded by Bulgarian singer/percussionist Elitsa Todorova and percussionist Stoyan Yankoulov, performing as Elitsa & Stoyan. The song was written by Todorova and Kristian Talev. The song was Bulgaria's entry to the Eurovision Song Contest 2013 held in Malmö, Sweden, competing in the second semi-final on 16 May and missing out on qualification coming 12th with 45 points.",Song
Rugby Football Club Arsenal Tivat is a Montenegrin rugby club based in Tivat.,SportsTeam
"The Kotoden Kotohira line (琴電琴平線 Kotoden Kotohira-sen) is a Japanese railway line in Kagawa Prefecture, which connects Takamatsu-Chikkō Station in Takamatsu with Kotoden-Kotohira Station in Kotohira. It is owned and operated by the Takamatsu-Kotohira Electric Railroad. The line color is yellow.",RouteOfTransportation
Meta bourneti is an orb weaving cave spider closely related to Meta menardi.,Animal
"William Francis Mack (February 12, 1885 – September 30, 1971) was a pitcher in Major League Baseball. He played for the Chicago Cubs in July 1908. He was the last surviving player to have played for the 1908 Chicago Cubs, their most recent World Series championship.",Athlete
"Mostafa Malekian (born 1 January 1956) (Persian:  مصطفی ملکیان ), is a prominent Iranian philosopher, thinker, translator and editor. He is working on a project called Rationality and Spirituality. His most important book, that is about spirituality and wisdom, is A Way to Freedom. Malekian was formerly a Professor of philosophy at Tehran University and Tarbiat Modares University.",Person
"Zduny [ˈzdunɨ] is a village in the administrative district of Gmina Łęczyca, within Łęczyca County, Łódź Voivodeship, in central Poland. It lies approximately 6 kilometres (4 mi) west of Łęczyca and 37 km (23 mi) north-west of the regional capital Łódź.",Settlement
"Grant Odishaw is a Canadian curler from Moncton, New Brunswick. He is an eight time provincial men's champion and former Canadian Mixed champion. He currently throws lead rocks for his brother Terry's team.",WinterSportPlayer
"The Lelystad–Zwolle railway, also known as the Hanzelijn (English: Hanseatic Line), is a Dutch railway line, finished in 2012. It connects Lelystad, capital of the province of Flevoland, with Zwolle, capital of the neighbouring province of Overijssel, and provides a direct rail link between Flevoland and the north-east of the Netherlands.",RouteOfTransportation
"The Bareilly Metro is a rapid transit system planned in the Indian city of Bareilly, Uttar Pradesh. The complete system will consist of 6 Metro Rail lines running throughout the metropolitan area of the city and connecting it with nearby satellite towns.",Organisation
Friedrich Josef Rauch was an SS Obersturmbannführer (Lieutenant Colonel) in charge of the Führer's personal security at the Reichskanzlei (Reich Chancellery) after 1942 and was alleged to be involved in the disposal of Nazi gold in 1945.,Person
"Philodromus lividus is a spider species found in Europe (Portugal, France, Italy, Croatia) and North Africa (Morocco, Algeria).",Animal
International Junior Hockey League was an independent Tier III Junior A ice hockey league. The League had teams in New England and Mid Atlantic United States.,SportsLeague
"Woodlan Junior-Senior High School is a public high school located in Woodburn, Indiana, a city northeast of Fort Wayne. Woodlan was built cooperatively between the Milan Township and Maumee Township school districts for the 1959-1960 school year. Harlan High School consolidated into Woodlan in 1965.",EducationalInstitution
"Sal LoCascio (born April 6, 1967) is a hall of fame former lacrosse goaltender and coach. During his playing career, Locascio excelled as both a field lacrosse goalkeeper and a box lacrosse goaltender, two very different positions.",Athlete
